"source_column","short_column","metric"
"fastboendebefolkningmapinfo_count","gc_fastboendebefolkningmapinfo_cnt_00ea14","cnt"
"industry_business_gd_v_erhverv_business_industry_bol_33_area_sh","gc_industry_business_gd_v_erhverv_busines_shr_032d48","shr"
"built_low_gd_v_buildings_low_selection_by_bol_33_area_share","gc_built_low_gd_v_buildings_low_selection_shr_02be32","shr"
"built_centre_gd_v_bykerne_built_centre_bol_33_area_share","gc_built_centre_gd_v_bykerne_built_centre_shr_027696","shr"
"buildings_high_gd_v_buildings_high_bol_33_area_share","gc_buildings_high_gd_v_buildings_high_bol_shr_021b88","shr"
"buildings_low_gd_v_buildings_low_bol_33_area_share","gc_buildings_low_gd_v_buildings_low_bol_3_shr_01f732","shr"
"river_gd_v_vand_river_centre_bol_33_length_m","gc_river_gd_v_vand_river_centre_bol_33_len_018652","len"
"lake_gd_v_soe_lake_bol_33_area_share","gc_lake_gd_v_soe_lake_bol_33_shr_01016a","shr"
"wetland_gd_v_vaadomr_wetland_bol_33_area_share","gc_wetland_gd_v_vaadomr_wetland_bol_33_shr_01a76c","shr"
"sandklit_gd_v_sandklit_sanddune_bol_33_area_share","gc_sandklit_gd_v_sandklit_sanddune_bol_33_shr_01e135","shr"
"moor_hede_gd_v_hede_moor_bol_33_area_share","gc_moor_hede_gd_v_hede_moor_bol_33_shr_015f55","shr"
"fredskov_miljostyrelsen_gds_mat2_fredskov_bor_32_area_share","gc_fredskov_miljostyrelsen_gds_mat2_freds_shr_02bb04","shr"
"forest_gd_v_skov_forest_bol_33_area_share","gc_forest_gd_v_skov_forest_bol_33_shr_0152f7","shr"
"roads_simplified_gd_v_vej_road_merged_bol_33_length_m","gc_roads_simplified_gd_v_vej_road_merged__len_0231cb","len"
"pdk_kulturhistoriskbevaringsvaerdi_vedtaget_wfs_area_share","gc_pdk_kulturhistoriskbevaringsvaerdi_ved_shr_02c1da","shr"
"bes_naturtyper_area_share","gc_bes_naturtyper_shr_00862a","shr"
"kortlaeg_naturtyper_fl_area_share","gc_kortlaeg_naturtyper_fl_shr_00e684","shr"
"ecology_connectivity_pdk_oekologiskforbindelse_bor_32_area_shar","gc_ecology_connectivity_pdk_oekologiskfor_shr_032534","shr"
"landscapes_worthy_of_preservation_pdk_bevaringsvaerdigelandskab","gc_landscapes_worthy_of_preservation_pdk__val_034088","val"
"natura_2000_specially_designated_land_areas_area_share","gc_natura_2000_specially_designated_land__shr_025083","shr"
"natura_2000_bird_protection_area_share","gc_natura_2000_bird_protection_shr_01271d","shr"
"natura_2000_habitat_areas_dai_area_share","gc_natura_2000_habitat_areas_dai_shr_01412e","shr"
"coastal_zone_kystnarhedszonen_3_km_miljoministeriet_plst_pdk_ky","gc_coastal_zone_kystnarhedszonen_3_km_mil_shr_03466b","shr"
"coastline_gd_v_kyst_coast_line_bol_33_length_m","gc_coastline_gd_v_kyst_coast_line_bol_33_len_01ab17","len"
"aviation_approach_zones_tst_area_share","gc_aviation_approach_zones_tst_shr_01319b","shr"
"valuable_cultural_environment_slks_area_share","gc_valuable_cultural_environment_slks_shr_01ac56","shr"
"cultural_and_historical_conservation_values_kulturhistoriske_be","gc_cultural_and_historical_conservation_v_shr_034ee6","shr"
"militara_omraden_plst_area_share","gc_militara_omraden_plst_shr_00d7e3","shr"
"strandbeskyttelse_miljostyrelsen_gds_mat2_strandbeskyttelse_mer","gc_strandbeskyttelse_miljostyrelsen_gds_m_shr_0344bf","shr"
"protected_areas_fredede_omrader_miljostyrelsen_st_mp_arealdata_","gc_protected_areas_fredede_omrader_miljos_shr_033c2b","shr"
"protected_watercourses_miljostyrelsen_length_m","gc_protected_watercourses_miljostyrelsen_len_01c5f2","len"
"power_substation_osm_power_substation_edit_jf_1812_bor_33_count","gc_power_substation_osm_power_substation__cnt_0301ae","cnt"
"underground_cable_osm_underground_cable_land_jf_181224_bor_leng","gc_underground_cable_osm_underground_cabl_len_02f072","len"
"high_voltage_line_osm_high_voltage_line_jf_181224_bor_length_m","gc_high_voltage_line_osm_high_voltage_lin_len_02e11c","len"
"biogas_facility_point_pdk_kpr_v_biogasanl_centroid_bor_32_count","gc_biogas_facility_point_pdk_kpr_v_biogas_cnt_032854","cnt"
"solarparks_point_pdk_kpr_v_solcellspark_centroid_bor_32_count","gc_solarparks_point_pdk_kpr_v_solcellspar_cnt_02fa07","cnt"
"windturbine_rated_power_kw_ens_vindkraftanlaeg_bol_33_count","gc_windturbine_rated_power_kw_ens_vindkra_cnt_02c35a","cnt"
