"include","short_column","source_column","metric","direction","weight","transform","notes"
TRUE,"gc_fastboendebefolkningmapinfo_cnt_00ea14","fastboendebefolkningmapinfo_count","cnt",1,1,"log1p",""
TRUE,"gc_industry_business_gd_v_erhverv_busines_shr_032d48","industry_business_gd_v_erhverv_business_industry_bol_33_area_sh","shr",1,1,"none",""
TRUE,"gc_built_low_gd_v_buildings_low_selection_shr_02be32","built_low_gd_v_buildings_low_selection_by_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_built_centre_gd_v_bykerne_built_centre_shr_027696","built_centre_gd_v_bykerne_built_centre_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_buildings_high_gd_v_buildings_high_bol_shr_021b88","buildings_high_gd_v_buildings_high_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_buildings_low_gd_v_buildings_low_bol_3_shr_01f732","buildings_low_gd_v_buildings_low_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_river_gd_v_vand_river_centre_bol_33_len_018652","river_gd_v_vand_river_centre_bol_33_length_m","len",1,1,"none",""
TRUE,"gc_lake_gd_v_soe_lake_bol_33_shr_01016a","lake_gd_v_soe_lake_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_wetland_gd_v_vaadomr_wetland_bol_33_shr_01a76c","wetland_gd_v_vaadomr_wetland_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_sandklit_gd_v_sandklit_sanddune_bol_33_shr_01e135","sandklit_gd_v_sandklit_sanddune_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_moor_hede_gd_v_hede_moor_bol_33_shr_015f55","moor_hede_gd_v_hede_moor_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_fredskov_miljostyrelsen_gds_mat2_freds_shr_02bb04","fredskov_miljostyrelsen_gds_mat2_fredskov_bor_32_area_share","shr",1,1,"none",""
TRUE,"gc_forest_gd_v_skov_forest_bol_33_shr_0152f7","forest_gd_v_skov_forest_bol_33_area_share","shr",1,1,"none",""
TRUE,"gc_roads_simplified_gd_v_vej_road_merged__len_0231cb","roads_simplified_gd_v_vej_road_merged_bol_33_length_m","len",1,1,"none",""
TRUE,"gc_pdk_kulturhistoriskbevaringsvaerdi_ved_shr_02c1da","pdk_kulturhistoriskbevaringsvaerdi_vedtaget_wfs_area_share","shr",1,1,"none",""
TRUE,"gc_bes_naturtyper_shr_00862a","bes_naturtyper_area_share","shr",1,1,"none",""
TRUE,"gc_kortlaeg_naturtyper_fl_shr_00e684","kortlaeg_naturtyper_fl_area_share","shr",1,1,"none",""
TRUE,"gc_ecology_connectivity_pdk_oekologiskfor_shr_032534","ecology_connectivity_pdk_oekologiskforbindelse_bor_32_area_shar","shr",1,1,"none",""
TRUE,"gc_landscapes_worthy_of_preservation_pdk__val_034088","landscapes_worthy_of_preservation_pdk_bevaringsvaerdigelandskab","val",1,1,"none",""
TRUE,"gc_natura_2000_specially_designated_land__shr_025083","natura_2000_specially_designated_land_areas_area_share","shr",1,1,"none",""
TRUE,"gc_natura_2000_bird_protection_shr_01271d","natura_2000_bird_protection_area_share","shr",1,1,"none",""
TRUE,"gc_natura_2000_habitat_areas_dai_shr_01412e","natura_2000_habitat_areas_dai_area_share","shr",1,1,"none",""
TRUE,"gc_coastal_zone_kystnarhedszonen_3_km_mil_shr_03466b","coastal_zone_kystnarhedszonen_3_km_miljoministeriet_plst_pdk_ky","shr",1,1,"none",""
TRUE,"gc_coastline_gd_v_kyst_coast_line_bol_33_len_01ab17","coastline_gd_v_kyst_coast_line_bol_33_length_m","len",1,1,"none",""
TRUE,"gc_aviation_approach_zones_tst_shr_01319b","aviation_approach_zones_tst_area_share","shr",1,1,"none",""
TRUE,"gc_valuable_cultural_environment_slks_shr_01ac56","valuable_cultural_environment_slks_area_share","shr",1,1,"none",""
TRUE,"gc_cultural_and_historical_conservation_v_shr_034ee6","cultural_and_historical_conservation_values_kulturhistoriske_be","shr",1,1,"none",""
TRUE,"gc_militara_omraden_plst_shr_00d7e3","militara_omraden_plst_area_share","shr",1,1,"none",""
TRUE,"gc_strandbeskyttelse_miljostyrelsen_gds_m_shr_0344bf","strandbeskyttelse_miljostyrelsen_gds_mat2_strandbeskyttelse_mer","shr",1,1,"none",""
TRUE,"gc_protected_areas_fredede_omrader_miljos_shr_033c2b","protected_areas_fredede_omrader_miljostyrelsen_st_mp_arealdata_","shr",1,1,"none",""
TRUE,"gc_protected_watercourses_miljostyrelsen_len_01c5f2","protected_watercourses_miljostyrelsen_length_m","len",1,1,"none",""
TRUE,"gc_power_substation_osm_power_substation__cnt_0301ae","power_substation_osm_power_substation_edit_jf_1812_bor_33_count","cnt",1,1,"log1p",""
TRUE,"gc_underground_cable_osm_underground_cabl_len_02f072","underground_cable_osm_underground_cable_land_jf_181224_bor_leng","len",1,1,"none",""
TRUE,"gc_high_voltage_line_osm_high_voltage_lin_len_02e11c","high_voltage_line_osm_high_voltage_line_jf_181224_bor_length_m","len",1,1,"none",""
TRUE,"gc_biogas_facility_point_pdk_kpr_v_biogas_cnt_032854","biogas_facility_point_pdk_kpr_v_biogasanl_centroid_bor_32_count","cnt",1,1,"log1p",""
TRUE,"gc_solarparks_point_pdk_kpr_v_solcellspar_cnt_02fa07","solarparks_point_pdk_kpr_v_solcellspark_centroid_bor_32_count","cnt",1,1,"log1p",""
TRUE,"gc_windturbine_rated_power_kw_ens_vindkra_cnt_02c35a","windturbine_rated_power_kw_ens_vindkraftanlaeg_bol_33_count","cnt",1,1,"log1p",""
